race_id,off_time,course,horse,horse_id,SP,model_name,model_rank,model_score,policy_decision,dashboard_visible,result_position,win,frame,source_file,source_field,sort_direction
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,NEW_BUILD_LANE_A_MODEL,1,0.217898,NO_EDGE,yes,1,yes,yes,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending (rank 1 = highest prob)
922118,2.20,Market Rasen,Way Maker,7753413,1.1,NEW_BUILD_LANE_A_MODEL,2,0.156355,NO_EDGE,yes,3,no,yes,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending (rank 1 = highest prob)
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,NEW_BUILD_LANE_B_MODEL,1,0.167947,NO_EDGE,yes,1,yes,yes,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_b_top3.prob,descending (rank 1 = highest prob)
922118,2.20,Market Rasen,Way Maker,7753413,1.1,NEW_BUILD_LANE_C_MODEL,1,0.576332,N/A (Lane C is not policy-anchored; not operational),yes,3,no,yes,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_c_top3.prob,descending (rank 1 = highest prob)
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,NEW_BUILD_LANE_C_MODEL,2,0.570826,N/A,yes,1,yes,yes,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_c_top3.prob,descending (rank 1 = highest prob)
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,NEW_BUILD_POLICY_V1,N/A (policy does not re-rank -- it classifies the Lane-B top pick),N/A,NO_EDGE -- vp=0.167947 fails both WIN_TRUST_VP_MIN=0.22 and FRAME_TRUST_VP_MIN=0.17 thresholds; falls through to default NO_EDGE,yes (nb_decision_lane field on the same dashboard row),1,yes,yes,new_build_velo/policy_v1.py,apply_policy_v1() -- anchored to lane_b_prob,N/A (threshold classification not a sort)
922118,2.20,Market Rasen,Way Maker,7753413,1.1,NEW_BUILD_DASHBOARD_DISPLAY_ROW,1,0.217898 (Lane A prob, surfaced as champion_probability/velo_prime_prob on this row),NO_EDGE,yes -- THIS is the literal row a browser sees,3,no,yes,scripts/ops/new_build_dashboard_server.py,_build_governed_card_from_two_lane_readiness() reads card.get(lane_a_top3),descending
922118,2.20,Market Rasen,Way Maker,7753413,1.1,PASSPORT_STRENGTH_SCORE_PROXY (NOT a model or dashboard field),1,2.95,N/A -- this field has no policy layer,no -- not read by the dashboard,3,no,yes,data/new_build/current_cards/current_card_passport_feed_2026_07_05.jsonl,passport_strength_score (a feature-engineering input INTO Lane A/B/C, not their output),descending (imposed by prior report; field carries no native sort semantics)
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,PASSPORT_STRENGTH_SCORE_PROXY (NOT a model or dashboard field),2,2.90,N/A,no,1,yes,yes,data/new_build/current_cards/current_card_passport_feed_2026_07_05.jsonl,passport_strength_score,descending (imposed by prior report)
922118,2.20,Market Rasen,Way Maker,7753413,1.1,MAIN_VELO_PRIME,1,0.5313,N/A (Main VELO has no NO_EDGE-style policy layer -- it persists directly to velo_verdicts),yes (main verdict panel),3,no,yes,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending
922118,2.20,Market Rasen,Way Maker,7753413,1.1,OLD_VELO_WIN_ROLE,1,0.5313,N/A (identical pick to Main VELO -- WIN role is defined as max velo_prime_prob),no (not on New Build panel),3,no,yes,data/reports/old_velo_three_option_card_2026_07_05.json,picks[].velo_prime_prob (role=WIN),descending
922118,2.20,Market Rasen,Brosna Town,5301550,10.0,OLD_VELO_LONGSHOT_ROLE,1,0.2667 (longshot_role_score composite),N/A,no,2,no,yes,data/reports/old_velo_three_option_card_2026_07_05.json,picks[].longshot_role_score (role=LONGSHOT),descending
922118,2.20,Market Rasen,Brosna Town,5301550,10.0,SQPE_NO_RPR_SHADOW,1,0.1528,N/A (no policy layer for this shadow field),yes (no_rpr_top_horse field on dashboard),2,no,yes,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending (race 922118 has NO tie -- this is a clean, reliable read; contrast with race 922122 which is an 11-way tie, see forensic note)
922118,2.20,Market Rasen,Little Lady Rock,7618350,41.0,ACTUAL_RESULT,N/A,N/A,N/A,N/A,1,yes,yes,data/results/rp_results_2026_07_05.json,winner_horse / winner_id / winner_sp,N/A
